Order_Title,Details,Start_Time,Location
DBKL DATUK BANDAR,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 1/2023*
*Tarikh : 3/1/2023 (Selasa)*
*Jam : 9.30 pagi*
*Pengerusi : DATUK BANDAR*
*Tempat : Bilik Putra, Tingkat 29 Menara DBKL 1*

Menu
- 60 pax

Makanan Pagi
Rate RM15.00
-Ready Makanan Jam 8.30 pagi

- Bihun Goreng + Sambal
- Buah (potong)
- Roti Bun Kacang Merah
60 pax (30 Pax Hidang Letak Atas Meja Mesyuarat & 30 Pax Bungkus Letak Atas Meja Luar)
- Air Panas (Kopi O & Teh Tarik) 30 Pax Hidang & 30 Pax dalam Flusk

Makanan Tengahari
Rate RM25.00
-Ready makanan Jam 11.30 Pagi

- Nasi Goreng Tom Yam
- Ayam Goreng Berempah
- Dadih Jagung - bekas aisyah dah beli, dadih dia belum
- Buah (potong)
- Air Jus Twisters - dah beli
60 pax - Bungkus (pek individual)",2023-01-03T17:30:00+08:00,No Location
Dbkl wangsa maju,"60 org 2 x mkn 
8 pagi (pukul 10 dah nak makan)

Nasi tomato 
Ayam masak merah
Jelatah
Papadom
Buah
Air kordial

Roti jala
Kari ayam 
Kuih 2 jenis
Buah
Teh tarik",2023-01-04T10:00:00+08:00,Bilik mensyuarat pcwm aras 5 plaza sg mulia
Fisio kat uitm sg buluh ,No Details,2023-01-06T10:00:00+08:00,No Location
Dbkl pelesenan,"50 org 
2 petang

Nasi hujan panas
Ayam masak merah
Dalca 
Papedom
Buah
Air mineral",2023-01-06T14:00:00+08:00,"Bilik mesyuarat seroja, tingkat 9, dbkl 2"
Dbkl seputeh,"30 bungkus
6 petang

Nasi hujan panas
Ayam masak merah
Dalca
Papedom
Buah
Air mineral",2023-01-06T18:00:00+08:00,"Tingkat mezzanin, pcw seputeh"
Nabila yahya 016-671 7162,"Bawa tong air sejuk letak ais baru dlm bagi penuh satu tong sahaja..jgn isi air ais batu SAHAJA
Ini exrta

Air teh hidang kemudian sebab itu utk minum ptg mereka ada kuih sendiri

Gelas minta bawa lebih
Bawa cawan pakai buang 500 cup

420 org 11.00 pg
MENU 9
01. Nasi putih 
02. Ayam masak kicap 
03. Daging masak lemak cili api 
04. Sayur kankung goreng belacan
05. Ulam Sambal belacan
06. Buah 
07. Teh tarik
08. Minuman kordial sirap
RM 15.00
Tambahan 2 Waiters 200.00

JUMLAH RM 6500.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762",2023-01-07T12:00:00+08:00,"Tempat:Dewan perdana al-multaqam, level 10, maju junction "
Afnan titiwangsa 01133779705,"100 org bungkus

Set nasi ayam
Buah
Air mineral
",2023-01-07T12:30:00+08:00,"Dewan lorong kiri, lorong kiri kg datuk keramat"
Test foods utk keng,"10 org
Nasi beriani
Ayam grg berempah 
Kambing kari
Fillet ikan sweet sour 
",2023-01-10T11:00:00+08:00,No Location
Dbkl datuk bandar,"*Tempahan Makanan Mesyuarat*
*Mesyuarat Jawatankuasa Pusat Setempat 1 (JKPS1) Bil. 02/2023*
-*12/01/2023(Khamis)*
-*Jam 3.00 petang*

*Menu*
-60 pax

Minum petang *(Rate RM15.00)*
==============
- Pulut kuning
- ayam rendang
- Buah
- Teh Tarik & Kopi O
40 pax ( Hidang )
20 pax bungkus 
20 botol air mineral

*Bawa 2 buah jug untuk isi air kosong (ambil dari mesin Cuckoo Tingkat 29)*

-Sediakan Tisu",2023-01-12T14:00:00+08:00,No Location
Keng convension centre,"20 pax 8.00 pagi
  01. Bihun goreng
  02. Kuih 2 jenis 
         i. Karipap
        ii. Seri muka
  03. Teh O
  04. Nescafe
RM 9.00 X 20 = RM 180.00

Dom 4 vip utk makan tengahari
690 org 11.00 pagi
  01. Nasi beriani (basmati)
  02. Ayam goreng berempah 
  03. Kambing kari 
  04. Fish fillet sweet sour 
  05. Acar jelatah 
  06. Buah buahan
  07. Teh tarik
  08. Air oren
  09. Air mineral( botol kecil)

Vegi utk 19 org (makan tengahari)
  01. Nasi briani
  02. Sambal tauhu + tempe
  03. Dalca sayur
  04. Ayam goreng berempah vegi
  05. Acar jelatah
  06. Buah buahan

Rm 20.00 x 690 org = RM 13,800.00
RM 180.00 minum pagi
RM 450.00 dom

JUMLAH RM 14,430.00
Bayaran PENUH selewat - lewatnya 3 hari SEBELUM majlis
Zulja Quality enterprise
CIMB BANK
8000828762

BAYARAN DEPOSIT PERTAMA 5hb jan 2023 RM 2500.00
BAYARAN DEPOSIT KEDUA  11hb jan 2023 RM 5000.00
BAKI RM 6930.00
",2023-01-14T08:00:00+08:00,Convension centre selayang
